user_id,gender,gender_type,birthday,age,state,state_block,create_date,create_dayoftheweek,create_timezone,first_reg_interval,first_reg_date,first_reg_dayoftheweek,first_reg_timezone,second_reg_date,second_reg_interval,reg_cnt,shop_name,count_all,price_all,count_その他,count_教養娯楽費,count_交際費,count_交通費,count_車関連費,count_住宅費,count_食費,count_水道光熱費,count_税金,count_通信費,count_日用品費,count_被服費,count_美容健康費,count_保険費,count_養育費,PRICE_その他,PRICE_教養娯楽費,PRICE_交際費,PRICE_交通費,PRICE_車関連費,PRICE_住宅費,PRICE_食費,PRICE_水道光熱費,PRICE_税金,PRICE_通信費,PRICE_日用品費,PRICE_被服費,PRICE_美容健康費,PRICE_保険費,PRICE_養育費
51672,2,女性,1965,50代,宮城県,東北,2013/2/11,月曜日,午前,0,2013/2/11,月曜日,午後,2013/2/12,1,803,ファミマ,2,456,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0
71546,1,男性,1981,30代,東京都,南関東,2013/2/26,火曜日,午前,0,2013/2/26,火曜日,午前,2013/2/26,0,854,ローソン,1,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
275697,1,男性,1963,50代,不明,不明,2013/5/13,月曜日,午後,0,2013/5/13,月曜日,午後,2013/5/13,0,1230,ローソン,28,7520,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7520,0,0,0,0,0,0,0,0
418283,2,女性,1968,40代,山口県,中国,2013/5/24,金曜日,午後,0,2013/5/24,金曜日,午後,2013/5/24,0,1274,ファミマ,5,3815,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815,0,0,0,0,0,0,0,0
425741,2,女性,1976,30代,不明,不明,2013/5/25,土曜日,午前,0,2013/5/25,土曜日,夜間,2013/5/27,2,129,ローソン,21,7048,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7048,0,0,0,0,0,0,0,0
457701,2,女性,1983,30代,不明,不明,2013/5/29,水曜日,夜間,0,2013/5/29,水曜日,夜間,2013/6/2,4,798,ファミマ,32,21667,0,8,11,0,0,0,50,0,0,0,0,7,3,0,0,0,12636,1747,0,0,0,5912,0,0,0,0,937,435,0,0
501442,2,女性,1970,40代,不明,不明,2013/6/12,水曜日,午後,0,2013/6/12,水曜日,午後,2013/6/12,0,656,ファミマ,1,1136,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0
540618,2,女性,1984,30代,愛知県,東海,2013/6/19,水曜日,午後,0,2013/6/19,水曜日,午後,2013/6/19,0,463,ファミマ,5,2133,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133,0,0,0,0,0,0,0,0
548581,1,男性,1964,50代,栃木県,北関東,2013/6/22,土曜日,午後,0,2013/6/22,土曜日,午後,2013/6/23,1,1754,ファミマ,2,443,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0
602264,2,女性,1990,20代,愛知県,東海,2013/8/21,水曜日,午前,0,2013/8/21,水曜日,午後,2013/8/21,0,116,ローソン,3,1509,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,0,0,0,0
665909,2,女性,1992,20代,不明,不明,2013/10/29,火曜日,夜間,78,2014/1/15,水曜日,午後,2014/1/16,1,303,ローソン,2,710,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0
697803,2,女性,1965,50代,大阪府,近畿,2013/12/8,日曜日,午後,0,2013/12/8,日曜日,午後,2013/12/8,0,818,ローソン,1,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0
745738,2,女性,1984,30代,宮城県,東北,2014/1/15,水曜日,午後,1,2014/1/16,木曜日,午後,2014/1/17,1,50,ファミマ,1,599,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0
398,1,男性,1989,20代,神奈川県,南関東,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,早朝・深夜,2013/2/1,0,1146,ファミマ,110,42884,2,5,0,0,0,0,169,0,0,4,5,0,0,0,0,485,17863,0,0,0,0,22560,0,0,742,1234,0,0,0,0
398,1,男性,1989,20代,神奈川県,南関東,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,早朝・深夜,2013/2/1,0,1146,ローソン,170,83965,0,5,0,0,0,0,281,0,1,1,2,0,0,0,0,0,19145,0,0,0,0,40616,0,23000,290,914,0,0,0,0
398,1,男性,1989,20代,神奈川県,南関東,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,早朝・深夜,2013/2/1,0,1146,セブンイレブン,103,31652,0,4,0,0,0,0,179,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,28387,0,0,0,265,0,0,0,0
463,1,男性,1971,40代,岡山県,中国,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,午後,2013/2/1,0,1306,ファミマ,76,61378,4,4,0,0,0,0,243,0,0,0,2,1,0,0,0,870,19020,0,0,0,0,38664,0,0,0,844,1980,0,0,0
463,1,男性,1971,40代,岡山県,中国,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,午後,2013/2/1,0,1306,ローソン,20,22108,1,1,0,1,0,0,42,0,0,0,2,0,0,0,0,980,7310,0,6300,0,0,7058,0,0,0,460,0,0,0,0
463,1,男性,1971,40代,岡山県,中国,2013/1/31,木曜日,午後,1,2013/2/1,金曜日,午後,2013/2/1,0,1306,セブンイレブン,387,231058,8,10,1,1,0,0,1304,0,0,1,14,0,0,0,0,640,13767,3200,16600,0,0,192823,0,0,80,3948,0,0,0,0
612,1,男性,1978,30代,東京都,南関東,2013/1/31,木曜日,夜間,0,2013/1/31,木曜日,夜間,2013/2/1,1,1209,ファミマ,43,10211,0,0,0,0,0,0,74,0,0,0,3,0,4,0,0,0,0,0,0,0,0,8626,0,0,0,608,0,977,0,0
612,1,男性,1978,30代,東京都,南関東,2013/1/31,木曜日,夜間,0,2013/1/31,木曜日,夜間,2013/2/1,1,1209,ローソン,19,4622,0,0,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,548,0,0,0,4074,0,0,0,0,0,0,0,0
612,1,男性,1978,30代,東京都,南関東,2013/1/31,木曜日,夜間,0,2013/1/31,木曜日,夜間,2013/2/1,1,1209,セブンイレブン,192,92917,0,14,0,0,0,0,386,0,0,0,170,0,1,0,0,0,2702,0,0,0,0,47134,0,0,0,42723,0,358,0,0
859,1,男性,1975,40代,不明,不明,2013/1/31,木曜日,夜間,1,2013/2/1,金曜日,午前,2013/2/1,0,1607,ファミマ,6,1953,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,2026,0,0,0,0,0,0,0,0
859,1,男性,1975,40代,不明,不明,2013/1/31,木曜日,夜間,1,2013/2/1,金曜日,午前,2013/2/1,0,1607,ローソン,405,236799,1,208,8,0,0,0,828,0,0,7,31,0,14,0,0,-20,88581,4031,0,0,0,132269,0,0,482,7687,0,3769,0,0
859,1,男性,1975,40代,不明,不明,2013/1/31,木曜日,夜間,1,2013/2/1,金曜日,午前,2013/2/1,0,1607,セブンイレブン,14,13577,9,3,0,0,0,0,26,0,0,0,0,0,0,0,0,7888,1450,0,0,0,0,4239,0,0,0,0,0,0,0,0
958,1,男性,1965,50代,不明,不明,2013/1/31,木曜日,夜間,1,2013/2/1,金曜日,午後,2013/2/1,0,2633,ファミマ,8,3767,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3767,0,0,0,0,0,0,0,0
958,1,男性,1965,50代,不明,不明,2013/1/31,木曜日,夜間,1,2013/2/1,金曜日,午後,2013/2/1,0,2633,ローソン,86,58710,0,46,0,0,0,0,179,0,0,0,0,0,0,0,0,0,26946,0,0,0,0,31764,0,0,0,0,0,0,0,0
